lop	tiet	12A	12B	12C	12D	12E	12G	12H	12K	12M	12N	10A	10B	10C	10D	10E	10G	10H	10K	10M	10N	11A	11B	11C	11D	11E	11G	11H	11K	11M	11N	11P	11Q	11T
6	1	CN - GV1033	Van - GV1011	TD - GV1064	Ly - GV1035	QP - GV1067	TD - GV1065	Su - GV1052	Toan - GV1003	TD - GV1063	GDCD - GV1060	AVNN - GVNN01	AVNN - GVNN02	Hoa - GV1043	Dia - GV1058	Ly - GV1032	Ly - GV1036	Hoa - GV1044	Hoa - GV1041	CN - GV1046	Hoa - GV1039	Su - GV1050	Dia - GV1056	Anh - GV1026	Anh - GV1027	Toan - GV1010	CN - GV1073	Anh - GV1031	Anh - GV1030	Su - GV1053	Hoa - GV1040	Tin - GV1068	Toan - GV1007	Toan - GV1006	
6	2	Van - GV1018	Van - GV1011	TD - GV1064	Dia - GV1056	Dia - GV1057	TD - GV1065	Toan - GV1005	Toan - GV1003	TD - GV1063	QP - GV1067	AVNN - GVNN01	AVNN - GVNN02	Hoa - GV1043	Dia - GV1058	Anh - GV1029	CN - GV1046	Ly - GV1032	Anh - GV1030	Su - GV1053	Toan - GV1010	Hoa - GV1040	Su - GV1054	Anh - GV1026	Hoa - GV1041	Ly - GV1037	Anh - GV1025	Anh - GV1031	Hoa - GV1044	CN - GV1073	Tin - GV1070	Ly - GV1035	Hoa - GV1042	Toan - GV1006	
6	3	TD - GV1064	Toan - GV1007	Toan - GV1001	Hoa - GV1039	CN - GV1032	Su - GV1052	TD - GV1065	Tin - GV1071	Su - GV1051	TD - GV1063	Dia - GV1057	Tin - GV1069	Anh - GV1022	QP - GV1067	Anh - GV1029	Van - GV1011	CN - GV1046	Anh - GV1030	Anh - GV1026	Toan - GV1010	Hoa - GV1040	CN - GV1073	Tin - GV1070	GDCD - GV1061	Hoa - GV1044	Ly - GV1035	Su - GV1053	Ly - GV1034	Anh - GV1024	Anh - GV1031	Su - GV1054	Anh - GV1027	Hoa - GV1041	
6	4	TD - GV1064	Toan - GV1007	QP - GV1066	Hoa - GV1039	Hoa - GV1040	Ly - GV1033	TD - GV1065	Tin - GV1071	GDCD - GV1059	TD - GV1063	Ly - GV1036	QP - GV1067	Anh - GV1022	Anh - GV1023	Su - GV1053	Toan - GV1002	Su - GV1051	CN - GV1046	Hoa - GV1044	Su - GV1054	Anh - GV1028	Hoa - GV1042	Ly - GV1038	Su - GV1050	GDCD - GV1061	Ly - GV1035	Tin - GV1070	Ly - GV1034	Anh - GV1024	Anh - GV1031	Anh - GV1026	Anh - GV1027	Hoa - GV1041	
6	5	QP - GV1066	Dia - GV1056	GDCD - GV1059	CN - GV1035	Anh - GV1022	Ly - GV1033	Hoa - GV1043	GDCD - GV1060	Van - GV1011	Ly - GV1037	QP - GV1067	Anh - GV1031	GDCD - GV1061	Anh - GV1023	Dia - GV1057	Anh - GV1027	Anh - GV1024	Ly - GV1034	Ly - GV1032	CN - GV1046	Anh - GV1028	Hoa - GV1042	Hoa - GV1040	Van - GV1020	Su - GV1050	Tin - GV1070	Ly - GV1038	Su - GV1053	Hoa - GV1041	Su - GV1054	Anh - GV1026	Ly - GV1077	Anh - GV1025	
7	1	Su - GV1052	Toan - GV1007	Anh - GV1025	GDCD - GV1060	Tin - GV1071	CN - GV1033	Sinh - GV1045	Anh - GV1029	Anh - GV1022	Dia - GV1057	Ly - GV1036	Hoa - GV1041	AVNN - GVNN03	Anh - GV1023	CN - GV1046	Van - GV1011	Van - GV1020	Ly - GV1034	Ly - GV1032	GDCD - GV1061	Anh - GV1028	Ly - GV1037	Sinh - GV1048	Anh - GV1027	Tin - GV1070	Su - GV1054	Anh - GV1031	Sinh - GV1047	Anh - GV1024	Sinh - GV1049	Hoa - GV1044	Su - GV1053	Su - GV1050	
7	2	Sinh - GV1048	GDCD - GV1059	Hoa - GV1042	Anh - GV1028	Tin - GV1071	Van - GV1012	Hoa - GV1043	CN - GV1032	Toan - GV1004	CN - GV1037	Hoa - GV1039	Ly - GV1034	Su - GV1053	Sinh - GV1046	Anh - GV1029	Anh - GV1027	Anh - GV1024	Toan - GV1002	Van - GV1011	QP - GV1067	Tin - GV1074	Van - GV1018	Su - GV1050	QP - GV1066	Sinh - GV1049	Sinh - GV1047	Ly - GV1038	Tin - GV1070	Van - GV1020	Anh - GV1031	GDCD - GV1061	Ly - GV1077	Van - GV1016	
7	3	Sinh - GV1048	Hoa - GV1043	Dia - GV1057	Anh - GV1028	Anh - GV1022	Sinh - GV1047	Toan - GV1005	Anh - GV1029	CN - GV1038	Tin - GV1071	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
7	4	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
7	5	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
