lop	tiet	GV1001	GV1002	GV1003	GV1004	GV1005	GV1006	GV1007	GV1008	GV1009	GV1010	GV1011	GV1012	GV1013	GV1015	GV1016	GV1017	GV1018	GV1019	GV1020	GV1021	GV1022	GV1023	GV1024	GV1025	GV1026	GV1027	GV1028	GV1029	GV1030	GV1031	GV1032	GV1033	GV1034	GV1035	GV1036	GV1037	GV1038	GV1039	GV1040	GV1041	GV1042	GV1043	GV1044	GV1045	GV1046	GV1047	GV1048	GV1049	GV1050	GV1051	GV1052	GV1053	GV1054	GV1056	GV1057	GV1058	GV1059	GV1060	GV1061	GV1062	GV1063	GV1064	GV1065	GV1066	GV1067	GV1068	GV1069	GV1070	GV1071	GV1073	GV1074	GV1076	GV1077	GVNN01	GVNN02	GVNN03
6	1	 - 	 - 	Toan - 12K	 - 	 - 	Toan - 11T	Toan - 11Q	 - 	 - 	Toan - 11E	Van - 12B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 11C	Anh - 11D	 - 	 - 	Anh - 11K	Anh - 11H	Ly - 10E	CN - 12A	 - 	Ly - 12D	Ly - 10G	 - 	 - 	Hoa - 10N	Hoa - 11N	Hoa - 10K	 - 	Hoa - 10C	Hoa - 10H	 - 	CN - 10M	 - 	 - 	 - 	Su - 11A	 - 	Su - 12H	Su - 11M	 - 	Dia - 11B	 - 	Dia - 10D	 - 	GDCD - 12N	 - 	 - 	TD - 12M	TD - 12C	TD - 12G	 - 	QP - 12E	Tin - 11P	 - 	 - 	 - 	CN - 11G	 - 	 - 	 - 	AVNN - 10A	AVNN - 10B	 - 	
6	2	 - 	 - 	Toan - 12K	 - 	Toan - 12H	Toan - 11T	 - 	 - 	 - 	Toan - 10N	Van - 12B	 - 	 - 	 - 	 - 	 - 	Van - 12A	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 11G	Anh - 11C	 - 	 - 	Anh - 10E	Anh - 10K	Anh - 11H	Ly - 10H	 - 	 - 	Ly - 11P	 - 	Ly - 11E	 - 	 - 	Hoa - 11A	Hoa - 11D	Hoa - 11Q	Hoa - 10C	Hoa - 11K	 - 	CN - 10G	 - 	 - 	 - 	 - 	 - 	 - 	Su - 10M	Su - 11B	Dia - 12D	Dia - 12E	Dia - 10D	 - 	 - 	 - 	 - 	TD - 12M	TD - 12C	TD - 12G	 - 	QP - 12N	 - 	 - 	Tin - 11N	 - 	CN - 11M	 - 	 - 	 - 	AVNN - 10A	AVNN - 10B	 - 	
6	3	Toan - 12C	 - 	 - 	 - 	 - 	 - 	Toan - 12B	 - 	 - 	Toan - 10N	Van - 10G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10C	 - 	Anh - 11M	 - 	Anh - 10M	Anh - 11Q	 - 	Anh - 10E	Anh - 10K	Anh - 11N	CN - 12E	 - 	Ly - 11K	Ly - 11G	 - 	 - 	 - 	Hoa - 12D	Hoa - 11A	Hoa - 11T	 - 	 - 	Hoa - 11E	 - 	CN - 10H	 - 	 - 	 - 	 - 	Su - 12M	Su - 12G	Su - 11H	Su - 11P	 - 	Dia - 10A	 - 	 - 	 - 	GDCD - 11D	 - 	TD - 12N	TD - 12A	TD - 12H	 - 	QP - 10D	 - 	Tin - 10B	Tin - 11C	Tin - 12K	CN - 11B	 - 	 - 	 - 	 - 	 - 	 - 	
6	4	 - 	Toan - 10G	 - 	 - 	 - 	 - 	Toan - 12B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10C	Anh - 10D	Anh - 11M	 - 	Anh - 11P	Anh - 11Q	Anh - 11A	 - 	 - 	Anh - 11N	 - 	Ly - 12G	Ly - 11K	Ly - 11G	Ly - 10A	 - 	Ly - 11C	Hoa - 12D	Hoa - 12E	Hoa - 11T	Hoa - 11B	 - 	Hoa - 10M	 - 	CN - 10K	 - 	 - 	 - 	Su - 11D	Su - 10H	 - 	Su - 10E	Su - 10N	 - 	 - 	 - 	GDCD - 12M	 - 	GDCD - 11E	 - 	TD - 12N	TD - 12A	TD - 12H	QP - 12C	QP - 10B	 - 	 - 	Tin - 11H	Tin - 12K	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
6	5	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 11D	 - 	Anh - 12E	Anh - 10D	Anh - 10H	Anh - 11T	Anh - 11P	Anh - 10G	Anh - 11A	 - 	 - 	Anh - 10B	Ly - 10M	Ly - 12G	Ly - 10K	CN - 12D	 - 	Ly - 12N	Ly - 11H	 - 	Hoa - 11C	Hoa - 11M	Hoa - 11B	Hoa - 12H	 - 	 - 	CN - 10N	 - 	 - 	 - 	Su - 11E	 - 	 - 	Su - 11K	Su - 11N	Dia - 12B	Dia - 10E	 - 	GDCD - 12C	GDCD - 12K	GDCD - 10C	 - 	 - 	 - 	 - 	QP - 12A	QP - 10A	 - 	 - 	Tin - 11G	 - 	 - 	 - 	 - 	Ly - 11Q	 - 	 - 	 - 	
7	1	 - 	 - 	 - 	 - 	 - 	 - 	Toan - 12B	 - 	 - 	 - 	Van - 10G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 10H	 - 	Anh - 12M	Anh - 10D	Anh - 11M	Anh - 12C	 - 	Anh - 11D	Anh - 11A	Anh - 12K	 - 	Anh - 11H	Ly - 10M	CN - 12G	Ly - 10K	 - 	Ly - 10A	Ly - 11B	 - 	 - 	 - 	Hoa - 10B	 - 	 - 	Hoa - 11P	Sinh - 12H	CN - 10E	Sinh - 11K	Sinh - 11C	Sinh - 11N	Su - 11T	 - 	Su - 12A	Su - 11Q	Su - 11G	 - 	Dia - 12N	 - 	 - 	GDCD - 12D	GDCD - 10N	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Tin - 11E	Tin - 12E	 - 	 - 	 - 	 - 	 - 	 - 	AVNN - 10C	
7	2	 - 	Toan - 10K	 - 	Toan - 12M	 - 	 - 	 - 	 - 	 - 	 - 	Van - 10M	Van - 12G	 - 	 - 	Van - 11T	 - 	Van - 11B	 - 	Van - 11M	 - 	 - 	 - 	Anh - 10H	 - 	 - 	Anh - 10G	Anh - 12D	Anh - 10E	 - 	Anh - 11N	CN - 12K	 - 	Ly - 10B	 - 	 - 	CN - 12N	Ly - 11H	Hoa - 10A	 - 	 - 	Hoa - 12C	Hoa - 12H	 - 	 - 	Sinh - 10D	Sinh - 11G	Sinh - 12A	Sinh - 11E	Su - 11C	 - 	 - 	Su - 10C	 - 	 - 	 - 	 - 	GDCD - 12B	 - 	GDCD - 11P	 - 	 - 	 - 	 - 	QP - 11D	QP - 10N	 - 	 - 	Tin - 11K	Tin - 12E	 - 	Tin - 11A	 - 	Ly - 11Q	 - 	 - 	 - 	
7	3	 - 	 - 	 - 	 - 	Toan - 12H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 12E	 - 	 - 	 - 	 - 	 - 	Anh - 12D	Anh - 12K	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	CN - 12M	 - 	 - 	 - 	 - 	Hoa - 12B	 - 	 - 	 - 	Sinh - 12G	Sinh - 12A	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Dia - 12C	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Tin - 12N	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
7	4	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
7	5	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
